Job_title,Company_name,Company_location,Job_detail,Job_description,Job_link
Head of Data Science - National Retailer,Salt,"London, England, United Kingdom","£100,000/yr - £140,000/yr · Full-time · Director","Head of Data Science
National Retailer
· Work amongst inspirational, friendly, exceptional talent!
· A genuine agile, innovative, highly producitonised data science environment
· Managing and continue to grow a team which has scaled rapidly in recent years
· Deliver real commercial impact for this retail goliath, through a wide variety of data science projects
Salary: Dependent on experience & up to 40% stretch target bonus
Location: London / flexible wfh
Like a lot of companies, our client has developed an internal data science team, but unusually, one to rival the top tech firms in terms of quality of talent, delivery of direct commercial return and opportunity to innovate.
You will lead and continue to grow a team of Data Scientists delivering a wide range of projects leveraging machine learning and AI techniques to optimize and automate processes and inform decision making around trading, pricing and promotions, fulfilment and supply resourcing.
As the business continues to embrace data science from the top down, you will need to use your skills in guiding, educating and inspiring very senior level stakeholders, as they truly embedd use of data science to drive, inform and change internal processes and the way the business is run.
Importantly, we need a very strong leader of people, someone who understands how to retain top tier talent with challenge and opportunity, support, coaching and career growth. You will need to inspire and lead from the front on project initiation, system design, process definition ensuring all the right Q’s are being asked and answered. Leading the conversation on architecture throughout a project, ensuring they’re built in a productionised way, ensuring the robustness is in place, given the reach the solutions have, across millions of products week in week out.
Their way of working is very practical, from end to end, dealing with customer focused problems, and naturally, you should be comfortable, and ideally have experience with, the typical culture and pace of retail.
Everyone within this centralized data science function can code – so you will need to be able to, too - there is a constant environment of learning, growth and development at every level and truly innovation products and solutions can be delivered. So we are looking for someone who is still ‘hands on’ in order to coach and mentor the rapidly growing team, guiding on best practice etc.
Skills and experience required:
Educated to at least degree level in a numerate subject such as engineering, mathematics, statistics, chemistry, physics, machine learning, computer science etc.
Advanced hands on skills using tools such as Python, R, Spark, Hadoop, SQL and cloud based platforms such as GCP, Azure and AWS to manipulate and analyse various data sets in large volumes
Background in data science from ideally a retail or blue chip background
Confident and strong presentation skills; ability to bring data to life for senior leaders and non-technical stakeholders
Thrives in a pacey, entrepreneurial and high performing environment
Strong team collaboration skills, able to work in a dynamic and solutions focused environment",https://www.linkedin.com/jobs/view/2867278998/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=4Glw%2FvRsace3H7bqthwj2A%3D%3D&trk=d_flagship3_search_srp_jobs
Senior Manager - Data Science,KPMG UK,"London, England, United Kingdom",Full-time · Mid-Senior level,"The Team
Our highly specialised Data Science and AI team in our KPMG ‘Lighthouse’ uses advanced analytical techniques and industrial scale technology platforms to help our clients accelerate their digital transformation journeys. Typical projects require extracting a variety of data at large scale, drawing deep insights using complex analytical algorithms, and visualising the results to articulate compelling and engaging stories that, in the end, deliver increased value from that data. Our UK team works closely together with data science and engineering teams around the world, on building intelligent systems and products, to maximise our collective success.

Our Data Scientists support the whole firm on a wide variety of projects, across our Audit, Tax and Advisory business. We are experienced in managing diverse issues including business disruption, process optimisation, fraud, regulatory compliance, dispute resolution, deriving value from contracts and much more. Our Data Scientists support client work on a variety of projects across many industries including but not limited to: Financial Service, Retail, Public Sector, Healthcare, Energy and Utilities.

Roles and Responsibilities
Client Project Delivery: A Senior Manager/Lead Data Scientist would typically manage teams of Data Scientists on multiple engagements, focused on developing new, or tailoring existing, AI solutions designed for processing large data sets (e.g., using a Hadoop framework) that accelerate our clients’ digital journeys. This could include creating Proof of Concept, delivering minimal viable products or fully fledged projects including putting our models into production either on our own or our client’s environments.
Business Development: Work collaboratively with our business teams and our clients to show the art of the possible and to assess possible value and feasibility of applying data science to help solve specific business problems. Convert new business opportunities into revenue. This could include demoing to prospective clients, developing data strategies, leading feasibility studies, and supporting RFP responses.
Asset Development: Build data science assets (aka ‘accelerators’), in line with our UK and/or global strategy, to ensure we have the platforms and core assets in place to meet market demand. This could also include supporting our continuous improvement process around our own design and development processes e.g. about how we ensure the high quality that our clients require in an efficient manner
Collaboration: Liaise with our advanced data engineering and cloud engineering team for architecture design and model deployment to jointly build solutions and products that will interoperate seamlessly with other elements of the broader information architecture. Liaise with global ‘Lighthouse’ and other KPMG member firms for knowledge sharing and collaboration opportunities.
People: As a fast growing highly specialised team, you will be involved in the running and growing of our team, e.g., through involvement in hiring and coaching colleagues, helping with knowledge management, resource planning, process refinement, and other practice management activities.

Skills and Qualifications
Well versed at applying advanced analytical and AI techniques to large and varied data sets, generated and flowing at a rapid rate. Sample techniques include, but are not limited to:
Applied machine learning
Natural language processing
Computer Vision
Anomaly detection
Bayesian Statistics
Timeseries forecasting
Analytical and Computational Optimisation
Collaborative filtering and recommender systems
Graph Analytics
Experience with:
Generating and test working hypotheses, prepare and analyse historical data, identify patterns from samples for reporting of trends and support Predictive Analytics
Leveraging data visualisation techniques and tools to effectively demonstrate patterns, outliers, and exceptional conditions in the data
Creating performance metrics and tracking processes to measure the effectiveness of Data Science solutions
Conceptualising necessary data governance models to support the technical solution and assure the veracity of the data
Operating within the exploratory and experimental aspects of Data Science, e.g., to tease out interesting and previously unknown insights from vast pools of data
Working collaboratively with other members of the Data Science and Information Architecture teams to innovate and create compelling data-centric stories and experiences
Proficient with programming languages used by data scientists and in Big Data platforms, like Python, R, Scala
Software engineering paradigms like scripting and Object-Oriented Programming
At least one major cloud provider (AWS, GCP, Azure), their machine learning and engineering services.
Cloud service architecture and design
End-to-end product life cycle management
Deploying models into production, with awareness of the challenges.
MLOps – MLFlow, Kubeflow, BentoML or similar preferred
Track record in staying conversant in new analytic technologies, architectures, and languages – where necessary – for storing, processing, and manipulating this type of data
Demonstrated Data Science leadership skills, e.g. around establishing or growing Data Science teams through recruiting talented individuals, training colleagues, writing proposals and designing and delivering high value proposition
Persuasive power to communicate with a variety of stakeholders in the organisation
Working with Market Segment Leaders and their account teams, to identify strategic client issues, shape deals which demonstrate business value and work hands-on to lead engagements which leverage AI to solve business problems
Assist in the full sales cycle, taking a leadership role in the creation of new highly differentiated solutions
Planning and organisation skills so as to work with a high-performance team, handle demanding clients and multitask effectively
Extensive experience in AI, data science, data engineering and/or other technology related capabilities in one or multiple industries.
BSc (ideally MSc or PhD) or equivalent in Computer Science, Statistics, Engineering or similar technical field
A combination of one or more of the following:
Proficient with programming languages used by data scientists like Python, R, Scala,
Proficient with Git, Linux, Docker
Software Engineering best practices and Object-Oriented Programming
Skills in data engineering technologies like Hadoop, HDFS, Spark, Elasticsearch
SQL and NoSQL databases
Cloud certification(s) desired such as:
GCP – Machine Learning Engineering
GCP – Data Engineering
Azure – Data Scientist
Azure – AI Engineering
Azure – Data Engineering
AS – Machine Learning Specialty",https://www.linkedin.com/jobs/view/2866335445/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=ez57%2B0xlvxQYV%2FAqQPCwYA%3D%3D&trk=d_flagship3_search_srp_jobs
"Developer Advocate, Data Science",Layer,"London, England, United Kingdom",Full-time,"About us:

Layer is building a declarative MLOps platform to empower data science teams to effortlessly implement end-to-end machine learning from feature engineering, version control, and model deployment. Layer helps teams to build, train and deploy ML into production at scale. Most importantly, Layer sits on top of your existing data and tech stack and works in your dev environment for you with zero friction.

Layer has an all remote culture as we aspire to work with the best talent, no matter where they live. We firmly believe that exceptional companies can only be built by exceptional people. We look for people who are passionate about their work, grounded, achieve more with less, are full of grit, challenge themselves and their team relentlessly to do better, and have radical candour. Our team and culture are paramount to all else.

The role:

We are looking for an energetic and motivated Developer Advocate to be on the ground champion for Layer and our users. You’ll become a Layer expert and engage with our users to identify exciting opportunities for brand representation and community engagement. You will be creative in connecting with our community, take an active role in discussion with current and potential users, and be the first point of contact with our top evangelists.

You will help us promote Layer and raise awareness among developer communities through writing tutorials and blogs, as well as hosting webinars, meet-ups (virtual and in-person), and promotional events. You’ll ensure community members of all skill levels can get involved and always welcome newcomers and encourage them to make creative contributions. You’ll acquire a deep understanding of the ML community’s workflows and demonstrate how they can leverage Layer to best meet their key technical needs. We are looking for someone who has a deep love for engineering and a strong belief in the power of open source to make the world a better place.

What you'll be doing:

Help spread the word and grow the worldwide community of software engineers using and extending Layer.
Raise awareness through writing tutorials, articles and leading conversation both in-person and via online platforms.
Reach out and advise ML practitioners who want to open their projects on Layer.
Channel community feedback to the Product and Engineering departments based on your findings.
Be analytical and data-driven in creating useful content for the community. Define, report and analyze metrics to understand our community’s needs and interests.
Be a connector and maintain an engaged presence online. Respond to timely discussions and questions on social media and design shareable, creative campaigns for regular tweets and posts.
Drive trial and demand for our products through demonstration advocacy.

We’d love to hear from you if you have experience with:

Experience in either data science or open-source software.
Experience blogging or publishing technical content online. Bonus points if it’s related to open source or data science.
Experience building and/or managing a technical community.
Understanding of Git, Git-flow and CI/CD. You don’t have to be a superuser, but we make tools built around Git and you’ll need to know how to use them.
Strong communication skills - the ability to explain and translate complex concepts into simple communication.
Exceptional written and verbal communication skills.

Nice to have's:

Knowledge of our tools and the MLOps space.
A strong network within data science or open source communities.
Experience developing ML algorithms or models.
Working in a high growth start or scale-up.

What we offer:

All-remote work style, work anywhere. Currently, we prefer teammates to be within UTC to UTC+5
Equity plan
Highly competitive salary
$3,000 to purchase your remote working set up
Read more about the rest of our perks and benefits here

Commitment to equal opportunity:

Diversity is hugely important to us. Everyone should work in an environment free from discrimination
and harassment. At Layer, we celebrate diversity and continually strive to provide a more equitable, diverse, and inclusive space. All applicants will be treated fairly and judged solely on their merits. Our recruitment process is open, honest, and fair.",https://www.linkedin.com/jobs/view/2882629360/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=W5YOL59CeHsDhUYuzwK4Hw%3D%3D&trk=d_flagship3_search_srp_jobs
"Manager, Data Science",Amazon,"London, England, United Kingdom",Full-time · Mid-Senior level,"Description

*Flexibility for alternate EU Amazon offices*

Amazon’s mission is to be the most customer centric company in the world. The Workforce Staffing organization is on the front line of that mission by hiring the hourly fulfilment associates who make that mission a reality. To drive the necessary growth and continued scale of Amazon’s associate needs within a constrained employment environment, Amazon is creating a Workforce Staffing research program.

This program will re-invent how Amazon attracts, communicates with, and ultimately hires its hourly associates. This team will own multi-layered research and program implementation to drive deep learnings, process improvements, and strategic recommendations to global leadership. Are you passionate about data? Are you a tinkerer by trade? Do you enjoy questioning the status quo? Do complex and difficult challenges excite you? If yes, this may be the team for you.

As a Manager, Data Science in Workforce Staffing, you will have a strong focus on quantitative data analysis, understanding labor markets and the candidates within them. You will be responsible for building and developing a team, developing roadmaps, and driving business impact through your research at global scale.

You will lead data science projects using your deep expertise in statistics (regressions, multilevel models, structural equation models, etc.), and data collection in a variety of settings (e.g., field studies, surveys, existing large data sets) to define and answer nebulous problems. You leverage your quantitative background to develop and test theoretical frameworks and design experiments. You design, deployment, and conduct analysis of our global candidate research activities, using experimental, quasi-experimental, and RCT methods. You relentlessly obsess over understanding our candidates and what attracts them to Amazon. You work with colleagues across Research, Data Science, Business Intelligence and related teams to enable Amazon find and hire the right candidates for the right roles at an unprecedented scale.

A customer-obsessed, relentless curiosity is a must, as is commitment to the highest standards of methodological rigor that a given study allows. This role provides opportunity for significant exposure to Amazon’s culture, leadership, and global businesses, and furthermore provides significant opportunity to influence how Workforce Staffing matches talent to business demand.

This will be a highly visible role across multiple key deliverables for our global organization. If you are passionate and curious about data, obsess over customers, love questioning the status quo, and want to make the world a better place, let’s chat. #scienceemea


Basic Qualifications
Master’s degree in a relevant quantitative discipline with 7+ years industry experience
Experience independently designing and executing research or evaluations aimed at answering ambiguous, difficult-to-test questions
Comfortable with at least one computational language (e.g., R, Python)
Experience building and managing teams with 3+ years of line management experience
Demonstrated experience of influencing partner teams with research
Preferred Qualifications
Experience converting research studies into tangible real-world changes
Experience navigating conflicting priorities and ambiguous problems
Demonstrated experience conveying complex subject matter to clients and stakeholders
Demonstrated ability mentoring, coaching, and influencing colleagues, collaborators, and stakeholders
Demonstrated written and verbal communication skills

Company - Amazon UK Services Ltd.

Job ID: A1721789",https://www.linkedin.com/jobs/view/2821924985/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=Yh7BN%2FIGUe8HY%2FjudRpIQQ%3D%3D&trk=d_flagship3_search_srp_jobs
Data Intelligence Engineer,WisdomTree in Europe,"London, England, United Kingdom","£100,000/yr - £110,000/yr · Full-time · Mid-Senior level","You are passionate about Data Analytics?
You take pride in turning big data sets into business relevant dashboards and overviews?
You have worked with PowerBi, Tableau or a similar platform and have a background in finance/asset management?

Then come and apply for this role with us!

WisdomTree is a very unique employer in the asset management space, supporting self-starters, out of the box thinker and Doers in reaching their full potential. If you want to be (get into) finance of the future, join our team!
Role in London or Dublin, full time, hybrid so both remote and in-office work possible.",https://www.linkedin.com/jobs/view/2879086324/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=rUBTfrWCXKqh%2Bs%2BOxZwbyw%3D%3D&trk=d_flagship3_search_srp_jobs
Data Science Manager - Remote,Data Idols,"London, England, United Kingdom",Full-time · Mid-Senior level,"Data Science Manager - Remote

Data Idols are working with what can only be described as a true industry disruptor. This organisation are revolutionising the way organisations manage huge business costs and this platform is becoming a no brainer for companies across the UK with plans for expansion globally.



The Opportunity

As a Data Science Manager, you will be 50/50 hands-on technically and mentoring and managing an initially small team of 4 Data Scientists which is set to grow further. This Data Science Manager position will give you the ability to work with Product Managers, Tech Leads, and Engineering to build and achieve high-quality product roadmaps. You will play a key role in building a data strategy to shape the future of the organisation and champion a data-driven culture.



Skills and Experience

Experience in building Data Science teams
Combine technical expertise in Data Science with leadership and mentoring
In-depth Data Science knowledge
Stakeholder management

What's in it for you?

Up to £120,000 for the right candidate.
Coaching and therapy sessions
Home working equipment
Private health care
Please send your cv to us if you would like to learn more about the Data Science Manager position



Data Science Manager",https://www.linkedin.com/jobs/view/2882113741/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=ZKzXSScL8XxsFcghAroI6A%3D%3D&trk=d_flagship3_search_srp_jobs
Data Science Manager,ASOS.com,"London, England, United Kingdom",Full-time · Director,"ASOS is one of the UK’s top fashion and beauty destinations, expanding globally at a rapid pace. Our values are to be authentic, brave and creative, and we live and breathe these in everything we do.
We believe fashion can make you look, feel and be your best and, with technology in our DNA, we deliver the latest trends to our digital-obsessed 20-something market. Our award-winning AI teams sit at the heart of our business. We deliver technical innovation and pioneer incredible solutions, which are crucial to our continued success. We’re extremely ambitious and thrive on the individuality of our amazing employees. Our values encompass everything needed for our tech people to be the thought leaders of tomorrow.
We are looking for Data Science Managers to join our team and play a key role in helping ASOS provide the best shopping experience to our millions of customers. The role offers broad exposure to ASOS, requiring close collaboration with the wider ASOS Tech community. You will be part of a highly innovative AI platform working alongside machine learning scientists and engineers and software/data engineers to solve difficult problems using our rich datasets (transactions, customer interactions, product photos and videos) and cutting-edge AI technology.
What you will be doing:
Serve a group of scientists as manager through hiring, coaching, mentoring, and career development
Build cohesive, high functioning cross-functional teams that thrive in a culture of trust, respect and inclusion
Ensure your teams are consistently and iteratively delivering high-impact, high quality work by continuously assessing their approach and their process maturity
Shape the future of data science within ASOS by defining and executing strategies to attract and retain top talent and push AI competencies forward
Develop learning curriculum for each career family and provide clarity for progression for each individuals
Increase ASOS AI visibility through partnership with academia and participation in leading conferences
Be part of our sizable engineering management group to share knowledge and drive organisational change and improvement
Give leadership to other efforts that fit your passion and ASOS needs in collaboration with other managers, engineers and/or scientists across ASOS Tech
Who we’d like to meet someone with:
Passion for developing and growing people
Demonstrable experience in leading, managing and coaching scientists
Broad understanding of machine learning and data science delivery lifecycle
Strong knowledge of agile methodologies and frameworks
Passion for machine learning and AI
Proven experience working in a data science environment and building relationships with stakeholders and business leaders
Excellent communication and collaboration skills",https://www.linkedin.com/jobs/view/2877780651/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=uboOw6VvYXvcfXSzKPDB8w%3D%3D&trk=d_flagship3_search_srp_jobs
"Senior Manager, Data Science (Product Analytics)",Expedia Group,"London, England, United Kingdom","£47,000/yr - £55,000/yr · Full-time · Mid-Senior level","Expedia is seeking an intellectually curious, collaborative and experienced analytics leader to join the Global Data Science team in London as the Senior Manager of Product Analytics. This team fuels data-informed decisions, and proactively seeks data-driven solutions to enhance web products and improve customer experience.

You will be defining and driving the analysis, measurement, and optimisation of Content – a core platform capability that powers customer engagement for all Expedia Group brands. In this exciting area of the platform, you’ll work with our Product and Technology partners, and across brands to analyse Content such as property media (images, virtual tours, amenities), destination guides or customer reviews.

What you’ll do?
Hire and lead a solid team of analysts to drive key analytics priorities aligned to Expedia's strategic objectives.
Own and develop a metrics framework your product, building accurate and easy to consume dashboards/reports. Automate and scale reporting in partnership with data engineering and data platform teams
Collaborate with product teams on goal setting, product performance reviews, and strategy planning
Partner closely with technical and non-technical teams, to answer sophisticated business and user behaviour questions, with a focus on meaningful insights
Apply your expertise in data modelling, quantitative analysis, data mining, and data visualisation with a goal of improving customer experience and business results
Present analytics insights in product reviews, analytics community meetings and socialise your insights to benefit others across Expedia Group
Own end to end process in evaluating A/B or multivariate tests to improve user experience; proactively uncover opportunities and recommend new features for test and learn; evaluate and apply alternative methods to supplement randomised testing
Partner with technology and product teams to define requirements and implement clickstream tracking and instrumentation at granular level
Who you are:
Bachelors or Masters in engineering, physics, mathematics, data science or analytics
Demonstrable experience hiring, building, mentoring and leading a team
A total of 8-10 years of experience in web and product analytics
Hands-on experience using relational databases and writing performant queries in SQL against multi-terabyte and billion row datasets in big data environments
Hands-on experience with modern web analytics tools (Adobe analytics, Google Analytics, etc)
Experience using modern visualisation tools (Tableau, Looker, Qlik)
Experience in a relevant area – travel, ecommerce, or technology is a strong plus
Excellent oral and written skills to communicate complex issues and influence others internally and externally.
Excellent quantitative, analytical and critical thinking skills
Self-starter who can excel in a fast-paced and fluid environment.
Why Join Us:

Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better – that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them the tools to do so.

Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground, so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.

If you have a desire to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.

About Expedia Group

Expedia Group (NASDAQ: EXPE) powers travel for everyone, everywhere through our global platform. Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers. Expedia Group's family of brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Vrbo®, trivago®, Orbitz®, Travelocity®, Hotwire®, Wotif®, ebookers®, CheapTickets®, Expedia Group™ Media Solutions, Expedia Local Expert®, CarRentals.com™, and Expedia Cruises™.

© 2021 Expedia, Inc. All rights reserved. Trademarks and logos are the property of their respective owners. CST: 2029030-50

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",https://www.linkedin.com/jobs/view/2875933146/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=Zot3AQAhfs%2B0k0rs8IJtdQ%3D%3D&trk=d_flagship3_search_srp_jobs
Digital Product Manager (Data Science Products),London North Eastern Railway,"London, England, United Kingdom",Full-time,"Here at LNER, we are on a mission to set up a new in-house Machine Learning team to work on projects that truly demonstrate the business value of machine learning.

This in-house approach is a first for us, so we're on the hunt for a team of enthusiastic people who are up for the challenge of leading innovative data science projects.

The railway is a visible service used by millions, meaning your work will be impactful and have wide reaching implications. You will work within a new team of product managers, data scientists and machine learning engineers to deliver projects from start to finish - from ideation, to proof of concept, production, and maintenance/business as usual.

We do things differently here at LNER - we take a business-challenge led approach, meaning you will be working with a whole host of business areas to build machine learning models to meet their needs, alleviate pain points or generate revenue. You certainly won't get bored of the opportunities that come your way!

What will the Digital Product Manager (for Data Science Products) be involved in?

Reporting into the Product Manager Lead, this role will support LNER's vision to treat data across the business as an asset and an opportunity to achieve competitive advantage. This role is data-driven and is focused on enabling our data science journey to maximise predictive analytics, machine learning and artificial intelligence (AI) to deliver measurable business results.
You'll use your in-depth knowledge to develop a portfolio of machine learning opportunities by partnering with business areas, understanding their challenges, and helping them appreciate how machine learning could benefit them. You'll then be responsible for product managing these opportunities from ideation to proof of concept to production to ensure that machine learning scales or fails fast.

You'll also be involved in….

Scouting opportunities across the business for machine learning value, practicality, feasibility and business appetite.
Manage the product lifecycle of projects from proof of concept through to production and ongoing maintenance of algorithms, including proving business value through measurable results.
Promoting the importance of machine learning governance to build trust, transparency and a strong reputation for the use of machine learning to railway applications
Support the development of the data science strategy to direct LNER's data science capabilities and offer professional opinion and support on team development, project roadmapping and horizon scanning.
Implement the business engagement strategy to encourage a data driven culture and keep key stakeholders involved in the data science journey

As we strive to demonstrate the benefits of an in-house machine learning team, you'll need to thrive working in a fast-paced environment and be comfortable with a ‘test and learn' approach and not be afraid to experiment with creative solutions.

Does this sound like the ideal opportunity for you?

Of course, with this being such a specialised role, there are some ‘must haves' in terms of experience. You'll need to have experience in a similar role; as a team we are determined to show the business the true value of machine learning, so you'll need to hit the ground running.
You'll also need,
Prior experience and knowledge of product management is essential particularly in a digital/systems capacity
Experience taking products from idea generation through to product launch and ongoing maintenance
Highly numerate with strong and proven analytical skills to be able to commercially assess the value of opportunities within the pipeline
Experience of delivering data science proof of concepts and productionised models is advantageous
Sound understanding of data science and machine learning principles

Ultimately, we're looking for passionate people who will thrive on the challenge of demonstrating the value we can add as a Machine Learning team. These roles are initially for a period of 18 months, so you'll need to be able to quickly get up to speed with understanding our business challenges and be able to demonstrate effective solutions.

So, if you're ready for a new challenge and want to put your stamp on these new roles, what are you waiting for? Apply now!",https://www.linkedin.com/jobs/view/2884257332/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=xuIXZmIxHZuo%2Bx%2FSoO5LIw%3D%3D&trk=d_flagship3_search_srp_jobs
Managing Consultant - Data Science,PA Consulting,"London, England, United Kingdom",Full-time,"Company Description

We believe in the power of ingenuity to build a positive human future in a technology-driven world.

As strategies, technologies and innovation collide, we create opportunity from complexity.

Our diverse teams of experts combine innovative thinking and breakthrough use of technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results.

An innovation and transformation consultancy, we are over 3,300 specialists in consumer, defence and security, energy and utilities, financial services, government, health and life sciences, manufacturing, and transport. Our people are strategists, innovators, designers, consultants, digital experts, scientists, engineers and technologists. We operate globally from offices across the UK, US, Europe, and the Nordics.

PA. Bringing Ingenuity to Life.

Job Description

With a global network ranging from tech start-ups to Fortune 500 clients, we’ll offer you fascinating work, unrivalled opportunities for growth and the freedom to realise your potential to excel. Combining strategies, technologies and innovation, we turn complexity to opportunity and deliver enduring results, enabling you to build a successful and rewarding career.

Within PA the Managing Consultant (MC) role represents a top tier appointment in the organisation, with MCs typically serving as our business development, thought and team leaders. With one foot in the operation, one foot in the strategic and a head for business and proposition development, this role is highly varied and calls for someone who is autonomous and a self-starter.

We are searching for a seasoned expert within Analytics that can help drive new business and deliver projects within the Public Sector. You might expect to spend about half of your time actively engaged on client projects, with the balance split between new business development, and working to nurture and support our Analytics practice and people.

Duties May Include, But Are Not Limited To

Building interpersonal relationships with client teams, through involvement in business development activities and day-to-day management/interaction with team members, in the work.
Spotting opportunities to grow revenue via your relationships and understanding where we can add more value to our client engagements.
Building and growing teams – from entry level to more senior folks – so that they are engaged, supported and growing as individuals and as teams.
Orchestrating best in class output, ensuring that we are delivering the right thing at the right time to our clients.
Helping build an extraordinary culture, which attracts and retains the highest quality at all levels of career.
Expect a sleeves-up role, as all our people are client facing and empowered to fulfil the best outcome for their clients.

Qualifications

Experience Requirements

You will be expected to have data science experience around its capabilities, applications and usages.
You will have established yourself as a trusted leader, from successful experience building business pipelines through to complex delivery in areas such as data science.
You have demonstrable experience working within a fast-paced multi-disciplinary environment and can evidence your ability to deal with large amounts of information, make decisions effectively, and guide teams to achieve the best possible outcome for clients.
You have extensive experience in all stages in the algorithm lifecycle, from ideation, to data wrangling, feature extraction, model training, testing and validation. Preferably using programming languages such as R, python and Pyspark.
You have gained experience in deploying machine learning models into production, as well as monitoring performance and drift.
You understand the implications of Ethics and Privacy of data science work and how to maintain legality and fairness, and refrain from bias. You also understand how to govern these aspects across the organisation.
You can evidence how you have identified new revenue opportunities and converted these into business growth as well as having delivered projects of significant value.
You will be commercially savvy - with clear experience delivering effective estimation and working with cross discipline teams to get to the heart of a solution, articulating the technical elements clearly to internal folk but, critically, to clients too.
You will be a leader of technical and non-technical people. Evidence of building high performing cross functional teams, coaching and people development. Able to build connections quickly and influence others.
You will have experience of driving growth in data science both to internal and external clients and in developing successful sales pipelines using it.
You will be good at opening new doors, but also nurturing and growing existing client relationships.

Additional Information

About Analytics Services at PA

Using our analytics expertise, we help find hidden insights in mass data sets so clients can plan more effective responses to tough challenges.

Drawing on our experience in data modelling techniques, data visualisation and predictive analytics, our data science capability can help embed lasting change.

Benefits

Private medical insurance
25 days annual leave with the opportunity to buy 5 additional days
Company pension scheme
Annual performance-based bonus
Life and Income protection insurance
Tax efficient benefits (cycle to work, give as you earn)
Additional optional benefits (Dental, critical illness, spouse/partner life assurance)

Inclusion & Diversity

We believe that diversity makes us a stronger firm and look to employ people with different ideas, styles and skill sets. This diversity stimulates a rich, creative environment – one in which our people develop, and our clients enjoy enduring results. We’re committed to recruiting, promoting and rewarding our people solely based on their ability to contribute to PA’s goals, without regard to their sex, race, disability, religion, national origin, ethnicity, sexual orientation, age or marital status.

We welcome international applications, but we are unable to offer sponsorship for work permits, so you will need to have the full right to live and work in the UK. Unfortunately, your application will be automatically rejected if you do not have these rights.

Should you need any adjustments to the recruitment process, at either application or interview, please contact us on recruitmentenquiries@paconsulting.com.",https://www.linkedin.com/jobs/view/2876114177/?alternateChannel=search&refId=o8BcKgOnk%2BLGNY4M2l3QUA%3D%3D&trackingId=AzER0T0Cl5jnrs7yTHkxYA%3D%3D&trk=d_flagship3_search_srp_jobs
